Title,News Agency,Link,Date
"DNA analysis confirms Christopher Columbus' remains in Seville, solving 500-year-old mystery",Archaeology News Online Magazine,https://news.google.com/rss/articles/CBMigAFBVV95cUxPN18wXzJ1czI2SUQyNXFhUmlIM1p2VzRWUlM1cGxldTRlMzloWGRTMzFod2RrRnQtUllNeUd3V242enBSdnA4dHhFeG85UzduZ25sNVJ5cnBET0xCdHh1Z3p2bGRUel9qeDdXeU1YTVR6aFhlMDNIVnZ4T25oWHpuWQ?oc=5,14-10-2024
Video. New study solves mystery of Christopher Columbus' resting place,Euronews,https://news.google.com/rss/articles/CBMitwFBVV95cUxOQll0LUY1RllaczVlVnZnWlBIc04wbmdhM0pWUmhYTkFOT3pnbXVYZGZuUHhGZDlSandmU0ZwRWRkWm5Mb0JkdlRGSmJpSVhZbVN1VjA4Vlp2UngxcjVZQWdnQlJrR3kydVRZR091bG04bGtPWDlNM3lBZ2s0elp5RWR6cU9QM0RBRkF4Nkl2RzZ4YVI2YXVTWXNHV2JPRjQwckNqNjNoLXNtdjRzYXpESm1yei1vVEk?oc=5,11-10-2024
Experts advise caution about report Christopher Columbus was Jewish,JNS.org,https://news.google.com/rss/articles/CBMikgFBVV95cUxQdjBMSkk1eEE1bW9uXzJtNmtOMEhXbG9yb0owVHpOM2ZZUUIteFNvelBrblRGUkFQZW9oRDk0UzRMZktreHNwa3I2ZWRYYkpYQlNxYnVCTGlidzFJUDNpYmdEcmdSd3hwM2gtaUtTWHRTTEZrekNsWUxscV9fUUVvRHJtMzhweXpJRmF6MlQ1UWFrQQ?oc=5,13-10-2024
One Expert Says the Mystery of Columbus' Remains Has Finally Been Solved,Popular Mechanics,https://news.google.com/rss/articles/CBMiwAFBVV95cUxOaVFtYmhzRVpDZ0ZLVllLWlV0Wkc5dTZ5YWp1dVJKQTZlS0pmTmVHTmI1RTkzU05qUktRUFlQa3FLVTVNZnVKQnU4ODh0MnplN0pZX0JZUVdYdU5GVjBxQXRITWVqXzlxRjZjQmw1SHFnakw5WHJEbW5LVUtIMDA2YnNibDB6NWx1Rm1tZm9Rd3FKNkpOZW95amt1bHozX3NwUGY4Q19xTmVic1RNLTNNV0tHek1ZbmxIUWpiRHZlNjc?oc=5,12-10-2024
Christopher Columbus' final official resting place revealed — and researchers say they now know explorer's ethnicity,New York Post,https://news.google.com/rss/articles/CBMipwFBVV95cUxOOU1kQWFzd3pHZHVKT1p3bXd2NlJmX2pKWFFPTldvV0hYZUgtSzBDRmpFemF2TGJiWDNtT2lNS1ZvUFJjckF6M3cxdE1zNHBvc0tpTFc0Qks2YXdCODU2YS1BT24wRWVWYzdEYmpYYWNiTkgtODh6UHZBNHp5SGhWc09lMUJnaFllLXhDNWQyS3RvV0tsS3ZDWWQyTWJIdFg5NWtLZ2EzQQ?oc=5,11-10-2024
"Columbus remains, verified after 500 years, show he was Jewish: documentary",Fox News,https://news.google.com/rss/articles/CBMilwFBVV95cUxPdS0teVU2R2w2aWF0M2ZoTzlVNm42YWhVcEVPYnF3UUNrUExOaEdnbHBTNlhTc0Q3anZ6aVpTRzI5VDdWOWVsenBidVRlV3FVTDZWM3BYQnpzSk1iTEhZSElZNUJLSmtuUzBCQjYxVkE2Ymh4andZbGFZSWJmbDg1b2IteEd4aWVNaXctMlZ2MEtXd0Y2cUNv0gGcAUFVX3lxTFBSQXJLcVUwc2xpR0d3RHdHdmh1VWdPNGJ5a3dqVmtxdU1qZ2ZUTUl3QW0yMWNlbDJuM2J6RUpVcmhlTHllcWQ4RHFsUG40eWJ2SGIyVmFZbzFHU24tVFpTZHJtejdHRnlTWWE3OVo5UFJ4bGNkcHg0V0xkNGVHX0xBOFI2LUdVbTM4dUlreldNazUyVHFKOWNGVll4LQ?oc=5,13-10-2024
International experts slam alleged Columbus DNA findings: 'Commenting on this is like commenting on aliens',EL PAÍS USA,https://news.google.com/rss/articles/CBMi8gFBVV95cUxOejI5czEtd28yeWxRU29jODZNV3o5MlhyQTFFRDBjbW5fNGE1dTdudERwazFOOFNxdnJ1MXpaY19xajJXeV8tNVRnNlNwdHR4by1McWQ5bzhyVXZod1lpVFdTUWdWVnI1QnBOdi1Ka2hKcF9JRlltQnZIMjFzSXdNZUtkaVRTeFNpU2g1aTVKclBVVDdWY1hPbV80YzhYVmZEMXR4akVDd2ZrX2NCd1lWYVloYmo1NU5nUWlIYVNYS3NFMkpkYmQ2dmR3S1lKSW9wYTB3aU9uNElFVGd1Sll0enNFWjBJcUpQek51TnNpVEl2UdIBhgJBVV95cUxOR004QU5ybGxPNUpNZ2FXZU1OeGdIaGlabUFsX1FHWTlpclJ0aDhVRW83UUlxYUljeWowLTRhY0MxUjJEZHlaWDdISTBTLTdGRDFvTDNDWm13XzdScnZrV25RaWpkVFNQSmNiaXkyMmNydFFUQUFPY3lhblFSSHhDeUY5UkFiRTIzNDAtMTd4Mm1GalF5a0JSREJrQ2VJMkJLQjU0Vnk5cThQV0h3Z2dDVG1rRDZsdDNUV2RCMG10YlNrOWtTVDZzaklHeVZOOHNnRFlXeXQzSDZfVmlwWXZmQUhudHRwQmVwd0R0SHZ1akxwai0zYzhJUDN6MEFNUXJVcHlvMXBB?oc=5,17-10-2024
"Christopher Columbus may have been a Spanish Jew, according to a new documentary",NPR,https://news.google.com/rss/articles/CBMijwFBVV95cUxQVGRIZTEtaFJtRUlmTkFKTGdyRE9zY1FIQ0p1a2R4eDFTMlY0dFhvcjdVcDB2Mi1FQ2JYdllRMk1XWHF0VEhweklJbkQzQnY1TU8zWUVXWE8yb0phQmZxWlU4ZUJNN21raXpqQjJJYmVuVUdJdzZZb0Q5QmpvbzR6Xzh3SnU4ejh4cUpvcllWbw?oc=5,16-10-2024
Scientists are finally ready to reveal the truth about Christopher Columbus's DNA,indy100,https://news.google.com/rss/articles/CBMihgFBVV95cUxNemFaRTdDSWF6dXB4U0U3RzB6bE9MZU9wd1FheFFySFFLVy1od0FQLW1tMnhkZ0N0SXc5YjVKaDdnVHM1WEh0UGs1NGR0NnRRN3VQTmpENnFESjREN3Z4elFyT0FDTjFqQkNhS1U3T0o2OGNlaks0TlBXTzFUQ2hBYTBzalIwdw?oc=5,15-10-2024
Christopher Columbus Remains Identified With 'Absolute Reliability',Newsweek,https://news.google.com/rss/articles/CBMimAFBVV95cUxQcmdwWHVUMkJzVWdNZTNnWFUydlQ3eEQ3Z3B2Y0tnQ0MtWUxtRzRvZE4tOXhLZjNySFZiTnJMM0lhSE4wSG9XWU5OMHFqeF9DbVlPNjlWOVYxSFd3NkZYQnBGUXRWYVBDUGM1d2pwdm55MEJIM2ViUjRCSGgyZDV6eDQxZU1TMGpCMW1ubFJmeFdoMmFFM1h0dA?oc=5,11-10-2024
Christopher Columbus' true origin revealed: neither Genoese nor Italian,Marca English,https://news.google.com/rss/articles/CBMijwFBVV95cUxQRFEzUGNaX0VuWDVVUUlWQVVLb05VeHpkaEhaR0J3UHV2c3YwZ2Zuajd0Smk0TXVWcGMtVk5JQ2dlOEo1YzBTRVRzVGZFaXNJbWNGdWowN2dKVmE2QzExT2VRdGNGZFFFQVg2RER2VXAwYmhkeGxHd0RlWDAzTXB3UnRkd1ZELTQteHl2R2duRdIBjwFBVV95cUxORHN3V05OMk11aUVZT2Z0empCcmk4MTg1QjFfRFpqRVM0ejQ3NE1PbEx6WFpHM3B3QjdRRHNwZWZGOFdKQU1iSm1iN3gwV3VlMkxPNVh0c1JTdV9PM01ZSExFTHpfVUpncmItYkhCaEwzaF83alVGTGJZUnpLMS1XY0hIUXI4eENlTVMxeTV5bw?oc=5,13-10-2024
Christopher Columbus was secretly Jewish,The Telegraph,https://news.google.com/rss/articles/CBMinwFBVV95cUxQekNUREVjWU5ZaTVSWjVZVF9Wc0Jid3djMWE5cUVKSU1VSGI2R0FBQkROZnlYWndiQVBXR2RWb3ZjSU9ONjdIS1M3dmlPUExhOEFvQUcyeW1sWDJaVmktRS1pQlpkTWhPWW9JOUZEV3NzZXBDcjRmSWZSVHM4MHFZV3ZmU1JpT2VocWMyN2hsQ3RfekVMdmlTSE9XMU93NEk?oc=5,13-10-2024
"Christopher Columbus was a Sephardic Jew, 20-year DNA study finds",The Times,https://news.google.com/rss/articles/CBMikAFBVV95cUxPTTNDZDU5N01CdmVzRU1oeGJ2RmJFM3lGQ1NMTjVSYlA3bUpxdGZkcWFEUndCQ3VLRU8tVVBUNzk0WUItR2pReVprVGZlcHFfVjJjaTZJUVVtSUtVU3BDVTRYbUxvMFRjMXNPVjVuQjBKS3JSWkZSajFkMjNDSHZVdzliZmd4aHpNQTNIbzNHNkY?oc=5,13-10-2024
"Christopher Columbus was a Sephardic Jew from Western Europe, study finds",New York Post,https://news.google.com/rss/articles/CBMipAFBVV95cUxQbzlENXRNR1JYbFZZZ0dDU3Z5SUkxN2J6cEFkSnhUYk1tY2w1Q25UVzVoWDd4eGlXU1dZTS1xaTRHU01uRVE3dnI5R2txSVM3WENYY2JxOGVSY2pxLXYydXMwVllINzdOUDJtZGdVNkhkOTV3Q2o1R3BJWnZOWW9EakIzVGxiZlE0N0JRZXhnLURoV0tIWUoxSmpfbEZnbk9WZ1piXw?oc=5,13-10-2024
"Christopher Columbus 'kept secret he was Jewish' as DNA testing reveals Spanish roots, solving 500 year mystery",LBC,https://news.google.com/rss/articles/CBMiqgFBVV95cUxQR1NZVG5XaFFLd2lzWWZGcEJiTjRPYVJCbTBzZUhCZDVLZE9WRXF6UkpjQ1dtWjJPaV9EWF9iOEYxd05jQWt1RWxLNHRoMDFVQ1hydDhRMGU1THlQZXAzMFFmMmI0X25JX1QwNy04Ri1jZHdGTDR5WVVHTGlrb2dJY1U4amdxMFhoNG5TamJ0Q0dRVGVzb3hwMkJZc0xSUUJYaDJkREQ1LVFGUQ?oc=5,13-10-2024
